Date,kWh
2025-09-03 13:56:07.310173,119.49
2025-09-04 13:56:07.310173,110.64
2025-09-05 13:56:07.310173,84.36
2025-09-06 13:56:07.310173,68.55
2025-09-07 13:56:07.310173,65.55
2025-09-08 13:56:07.310173,105.6
2025-09-09 13:56:07.310173,84.58
2025-09-10 13:56:07.310173,110.72
2025-09-11 13:56:07.310173,97.04
2025-09-12 13:56:07.310173,87.51
2025-09-13 13:56:07.310173,53.26
2025-09-14 13:56:07.310173,53.65
2025-09-15 13:56:07.310173,84.14
2025-09-16 13:56:07.310173,97.83
2025-09-17 13:56:07.310173,91.81
2025-09-18 13:56:07.310173,80.63
2025-09-19 13:56:07.310173,92.77
2025-09-20 13:56:07.310173,55.33
2025-09-21 13:56:07.310173,65.69
2025-09-22 13:56:07.310173,109.15
2025-09-23 13:56:07.310173,93.38
2025-09-24 13:56:07.310173,80.75
2025-09-25 13:56:07.310173,118.3
2025-09-26 13:56:07.310173,106.31
2025-09-27 13:56:07.310173,53.02
2025-09-28 13:56:07.310173,65.74
2025-09-29 13:56:07.310173,86.91
2025-09-30 13:56:07.310173,110.5
2025-10-01 13:56:07.310173,94.39
2025-10-02 13:56:07.310173,112.33
2025-10-03 13:56:07.310173,96.07
2025-10-04 13:56:07.310173,58.39
2025-10-05 13:56:07.310173,69.53
2025-10-06 13:56:07.310173,92.81
2025-10-07 13:56:07.310173,91.74
2025-10-08 13:56:07.310173,82.05
2025-10-09 13:56:07.310173,104.99
2025-10-10 13:56:07.310173,118.23
2025-10-11 13:56:07.310173,62.21
2025-10-12 13:56:07.310173,63.45
2025-10-13 13:56:07.310173,112.7
2025-10-14 13:56:07.310173,110.3
2025-10-15 13:56:07.310173,111.39
2025-10-16 13:56:07.310173,81.1
2025-10-17 13:56:07.310173,117.55
2025-10-18 13:56:07.310173,52.54
2025-10-19 13:56:07.310173,65.29
2025-10-20 13:56:07.310173,100.23
2025-10-21 13:56:07.310173,97.44
2025-10-22 13:56:07.310173,94.24
2025-10-23 13:56:07.310173,95.23
2025-10-24 13:56:07.310173,108.49
2025-10-25 13:56:07.310173,52.17
2025-10-26 13:56:07.310173,60.76
2025-10-27 13:56:07.310173,86.33
2025-10-28 13:56:07.310173,95.06
2025-10-29 13:56:07.310173,108.09
2025-10-30 13:56:07.310173,80.98
2025-10-31 13:56:07.310173,113.16
2025-11-01 13:56:07.310173,54.87
2025-11-02 13:56:07.310173,54.37
2025-11-03 13:56:07.310173,119.63
2025-11-04 13:56:07.310173,116.55
2025-11-05 13:56:07.310173,87.56
2025-11-06 13:56:07.310173,92.19
2025-11-07 13:56:07.310173,84.43
2025-11-08 13:56:07.310173,59.97
2025-11-09 13:56:07.310173,61.09
2025-11-10 13:56:07.310173,86.3
2025-11-11 13:56:07.310173,117.52
2025-11-12 13:56:07.310173,93.36
2025-11-13 13:56:07.310173,105.96
2025-11-14 13:56:07.310173,87.67
2025-11-15 13:56:07.310173,64.04
2025-11-16 13:56:07.310173,57.9
2025-11-17 13:56:07.310173,111.08
2025-11-18 13:56:07.310173,103.99
2025-11-19 13:56:07.310173,109.4
2025-11-20 13:56:07.310173,95.91
2025-11-21 13:56:07.310173,82.06
2025-11-22 13:56:07.310173,55.97
2025-11-23 13:56:07.310173,63.5
2025-11-24 13:56:07.310173,84.85
2025-11-25 13:56:07.310173,85.45
2025-11-26 13:56:07.310173,81.31
2025-11-27 13:56:07.310173,86.48
2025-11-28 13:56:07.310173,104.19
2025-11-29 13:56:07.310173,66.95
2025-11-30 13:56:07.310173,67.67
2025-12-01 13:56:07.310173,101.93
