Date,kWh
2025-09-03 13:56:07.305478,154.68
2025-09-04 13:56:07.305478,153.31
2025-09-05 13:56:07.305478,162.74
2025-09-06 13:56:07.305478,100.92
2025-09-07 13:56:07.305478,98.89
2025-09-08 13:56:07.305478,162.68
2025-09-09 13:56:07.305478,127.56
2025-09-10 13:56:07.305478,169.0
2025-09-11 13:56:07.305478,146.99
2025-09-12 13:56:07.305478,138.17
2025-09-13 13:56:07.305478,83.35
2025-09-14 13:56:07.305478,104.97
2025-09-15 13:56:07.305478,140.12
2025-09-16 13:56:07.305478,123.24
2025-09-17 13:56:07.305478,149.03
2025-09-18 13:56:07.305478,149.25
2025-09-19 13:56:07.305478,152.12
2025-09-20 13:56:07.305478,78.96
2025-09-21 13:56:07.305478,81.23
2025-09-22 13:56:07.305478,125.52
2025-09-23 13:56:07.305478,172.4
2025-09-24 13:56:07.305478,124.88
2025-09-25 13:56:07.305478,121.96
2025-09-26 13:56:07.305478,178.79
2025-09-27 13:56:07.305478,81.4
2025-09-28 13:56:07.305478,93.24
2025-09-29 13:56:07.305478,126.01
2025-09-30 13:56:07.305478,157.66
2025-10-01 13:56:07.305478,123.68
2025-10-02 13:56:07.305478,134.6
2025-10-03 13:56:07.305478,166.62
2025-10-04 13:56:07.305478,98.99
2025-10-05 13:56:07.305478,75.66
2025-10-06 13:56:07.305478,163.59
2025-10-07 13:56:07.305478,141.32
2025-10-08 13:56:07.305478,153.99
2025-10-09 13:56:07.305478,173.9
2025-10-10 13:56:07.305478,152.38
2025-10-11 13:56:07.305478,94.0
2025-10-12 13:56:07.305478,93.96
2025-10-13 13:56:07.305478,150.77
2025-10-14 13:56:07.305478,175.19
2025-10-15 13:56:07.305478,174.41
2025-10-16 13:56:07.305478,129.4
2025-10-17 13:56:07.305478,172.05
2025-10-18 13:56:07.305478,88.94
2025-10-19 13:56:07.305478,98.92
2025-10-20 13:56:07.305478,144.71
2025-10-21 13:56:07.305478,126.35
2025-10-22 13:56:07.305478,133.74
2025-10-23 13:56:07.305478,120.79
2025-10-24 13:56:07.305478,164.72
2025-10-25 13:56:07.305478,76.77
2025-10-26 13:56:07.305478,90.68
2025-10-27 13:56:07.305478,156.38
2025-10-28 13:56:07.305478,160.98
2025-10-29 13:56:07.305478,140.33
2025-10-30 13:56:07.305478,150.72
2025-10-31 13:56:07.305478,125.39
2025-11-01 13:56:07.305478,99.94
2025-11-02 13:56:07.305478,93.14
2025-11-03 13:56:07.305478,155.11
2025-11-04 13:56:07.305478,133.18
2025-11-05 13:56:07.305478,165.95
2025-11-06 13:56:07.305478,147.22
2025-11-07 13:56:07.305478,125.87
2025-11-08 13:56:07.305478,89.41
2025-11-09 13:56:07.305478,92.53
2025-11-10 13:56:07.305478,154.52
2025-11-11 13:56:07.305478,124.42
2025-11-12 13:56:07.305478,142.43
2025-11-13 13:56:07.305478,165.67
2025-11-14 13:56:07.305478,131.01
2025-11-15 13:56:07.305478,80.96
2025-11-16 13:56:07.305478,85.66
2025-11-17 13:56:07.305478,166.99
2025-11-18 13:56:07.305478,167.67
2025-11-19 13:56:07.305478,129.73
2025-11-20 13:56:07.305478,165.58
2025-11-21 13:56:07.305478,132.3
2025-11-22 13:56:07.305478,77.06
2025-11-23 13:56:07.305478,82.45
2025-11-24 13:56:07.305478,167.7
2025-11-25 13:56:07.305478,160.21
2025-11-26 13:56:07.305478,155.65
2025-11-27 13:56:07.305478,121.45
2025-11-28 13:56:07.305478,173.51
2025-11-29 13:56:07.305478,89.78
2025-11-30 13:56:07.305478,89.9
2025-12-01 13:56:07.305478,164.5
