Date,kWh
2025-09-03 13:56:07.311768,197.91
2025-09-04 13:56:07.311768,163.77
2025-09-05 13:56:07.311768,160.34
2025-09-06 13:56:07.311768,105.13
2025-09-07 13:56:07.311768,112.0
2025-09-08 13:56:07.311768,208.62
2025-09-09 13:56:07.311768,203.28
2025-09-10 13:56:07.311768,204.74
2025-09-11 13:56:07.311768,187.88
2025-09-12 13:56:07.311768,207.92
2025-09-13 13:56:07.311768,111.43
2025-09-14 13:56:07.311768,99.29
2025-09-15 13:56:07.311768,160.71
2025-09-16 13:56:07.311768,152.94
2025-09-17 13:56:07.311768,205.34
2025-09-18 13:56:07.311768,189.32
2025-09-19 13:56:07.311768,178.63
2025-09-20 13:56:07.311768,102.19
2025-09-21 13:56:07.311768,105.46
2025-09-22 13:56:07.311768,151.47
2025-09-23 13:56:07.311768,159.48
2025-09-24 13:56:07.311768,206.0
2025-09-25 13:56:07.311768,199.14
2025-09-26 13:56:07.311768,179.81
2025-09-27 13:56:07.311768,94.91
2025-09-28 13:56:07.311768,103.46
2025-09-29 13:56:07.311768,196.47
2025-09-30 13:56:07.311768,147.59
2025-10-01 13:56:07.311768,151.28
2025-10-02 13:56:07.311768,211.89
2025-10-03 13:56:07.311768,208.93
2025-10-04 13:56:07.311768,96.51
2025-10-05 13:56:07.311768,110.43
2025-10-06 13:56:07.311768,203.02
2025-10-07 13:56:07.311768,157.57
2025-10-08 13:56:07.311768,148.06
2025-10-09 13:56:07.311768,161.35
2025-10-10 13:56:07.311768,189.56
2025-10-11 13:56:07.311768,124.92
2025-10-12 13:56:07.311768,118.88
2025-10-13 13:56:07.311768,151.45
2025-10-14 13:56:07.311768,191.94
2025-10-15 13:56:07.311768,202.45
2025-10-16 13:56:07.311768,183.57
2025-10-17 13:56:07.311768,205.15
2025-10-18 13:56:07.311768,119.35
2025-10-19 13:56:07.311768,125.45
2025-10-20 13:56:07.311768,156.19
2025-10-21 13:56:07.311768,193.88
2025-10-22 13:56:07.311768,197.46
2025-10-23 13:56:07.311768,180.46
2025-10-24 13:56:07.311768,174.14
2025-10-25 13:56:07.311768,120.12
2025-10-26 13:56:07.311768,95.5
2025-10-27 13:56:07.311768,204.77
2025-10-28 13:56:07.311768,161.85
2025-10-29 13:56:07.311768,202.49
2025-10-30 13:56:07.311768,150.63
2025-10-31 13:56:07.311768,212.59
2025-11-01 13:56:07.311768,95.84
2025-11-02 13:56:07.311768,124.51
2025-11-03 13:56:07.311768,159.74
2025-11-04 13:56:07.311768,162.91
2025-11-05 13:56:07.311768,183.1
2025-11-06 13:56:07.311768,162.77
2025-11-07 13:56:07.311768,213.18
2025-11-08 13:56:07.311768,98.41
2025-11-09 13:56:07.311768,92.83
2025-11-10 13:56:07.311768,168.37
2025-11-11 13:56:07.311768,173.12
2025-11-12 13:56:07.311768,182.38
2025-11-13 13:56:07.311768,185.7
2025-11-14 13:56:07.311768,157.27
2025-11-15 13:56:07.311768,107.05
2025-11-16 13:56:07.311768,95.04
2025-11-17 13:56:07.311768,159.67
2025-11-18 13:56:07.311768,185.23
2025-11-19 13:56:07.311768,202.47
2025-11-20 13:56:07.311768,185.77
2025-11-21 13:56:07.311768,152.96
2025-11-22 13:56:07.311768,95.45
2025-11-23 13:56:07.311768,108.18
2025-11-24 13:56:07.311768,155.11
2025-11-25 13:56:07.311768,145.69
2025-11-26 13:56:07.311768,186.06
2025-11-27 13:56:07.311768,198.06
2025-11-28 13:56:07.311768,183.63
2025-11-29 13:56:07.311768,106.67
2025-11-30 13:56:07.311768,112.31
2025-12-01 13:56:07.311768,180.75
